Symbol          Name	https://stooq.com/db/l/?g=29
02P.DE          PEARL GOLD
LEO.DE          LEONI
LHA.DE          LUFTHANSA VNA
LIN.DE          LINDE
LIO1.DE         SYGNIS
LNSX.DE         SIXT LEASING
LO24.DE         LOTTO24
LPK.DE          LPKF LASER + ELECTRON
LSX.DE          LS TELCOM
LUM.DE          AIS
LXS.DE          LANXESS
M3V.DE          MEVIS MEDICAL SOL
M5Z.DE          MANZ
MAK.DE          MATERNUS KLI
MAN.DE          MAN ST
MAN3.DE         MAN VZO
MBB.DE          MBB
MBH3.DE         MASCH BERT HER ON VZO
MDG1.DE         MEDIGENE
MDN.DE          MEDION
MED.DE          MEDICLIN
MEO.DE          METRO ST
MEO3.DE         METRO VZO
MGN.DE          MOLOGEN
ML2K.DE         MING LE SPORTS
MLL.DE          MUELLER DIE LILA LOGISTIK
MLP.DE          MLP
MNV6.DE         MAINOVA
MOR.DE          MORPHOSYS
MPRK.DE         MAIER + PARTNER
MPS.DE          MUEHL PROD + SERV
MRK.DE          MERCK KGAA
MSAG.DE         MS INDUSTRIE
MSGL.DE         MSG LIFE
MSH.DE          WASGAU PROD HANDELS
MTX.DE          MTU AERO ENGINES
MUS.DE          M + S ELEKTRONIK
MUV2.DE         MUENCH RUECKVERS VNA
MVV1.DE         MVV ENERGIE
MXHN.DE         MAX AUTOMATION
MYRK.DE         MYHAMMER HOLDING
MZX.DE          MASTERFLEX
NC5A.DE         NORCOM INF TECHN
NDA.DE          AURUBIS
NDX1.DE         NORDEX
NEM.DE          NEMETSCHEK
NOEJ.DE         NORMA GROUP
NSN.DE          NESCHEN
NSU.DE          AUDI
NWX.DE          NORDWEST HANDEL
NXU.DE          NEXUS
O1BC.DE         XING
O2D.DE          TELEFONICA DTLD
O4B.DE          OVB HOLDING
OBS.DE          ORBIS
ODE.DE          ODEON FILM
OHB.DE          OHB
OLG.DE          VERALLIA DTLD
OSP2.DE         USU SOFTWARE
OSR.DE          OSRAM LICHT
P1Z.DE          PATRIZIA IMMOBILIEN
PA8.DE          PAION
PAH3.DE         PORSCHE AUTOM VZO
PBB.DE          DT PFANDBRIEFBK
PCZ.DE          PROCREDIT EO 5
PFV.DE          PFEIFFER VACUUM TECH
PGN.DE          PARAGON
PIT.DE          PITTLER MA FABR
PNE3.DE         PNE WIND
PRA.DE          PRAKTIKER
PS4.DE          PHOENIX SOLAR
PSAN.DE         PSI
PSM.DE          PROSIEBENSAT 1
PUM.DE          PUMA
PUZ.DE          PONGS + ZAHN
PWO.DE          PROGRESS WERK OBERK
QIA.DE          QIAGEN EO
QSC.DE          QSC
RAA.DE          RATIONAL
RHK.DE          RHOEN KLINIKUM
RHM.DE          RHEINMETALL
RIB.DE          RIB SOFTWARE EO 1
RKB.DE          WEBAC HOLDING
RKET.DE         ROCKET INTERNET
RRTL.DE         RTL GROUP
RSB.DE          ABWICKLUNGSG ROESCH
RSL2.DE         R STAHL
RTC.DE          REALTECH
RTML.DE         HESSE NEWMAN CAP
RTV.DE          YOUR FAMILY ENTER
RWE.DE          RWE ST
RWE3.DE         RWE VZO
RY8.DE          ROY CERAMICS
S4A.DE          SMT SCHARF
S92.DE          SMA SOLAR TECHNOL
SANT.DE         S + T (Z REG MK Z)
SAP.DE          SAP
SAX.DE          STROEER + CO KGAA
SAZ.DE          STADA ARZNEIMITT VNA
SBE.DE          SPOBAG
SBS.DE          STRATEC BIOMEDICAL
SCE.DE          SCHWEIZER ELECTR
SCM.DE          SCHUMAG
SDF.DE          K + S
SFP1.DE         SOFTMATIC
SFQ.DE          SAF HOLLAND SA EO
SFX.DE          SOLAR FABRIK
SGL.DE          SGL CARBON
SGU.DE          SINO GERMAN UTD
SHA.DE          SCHAEFFLER INH VZO
SHF.DE          SNP SCHNEID NEUREIT
SIE.DE          SIEMENS
SIM.DE          SIMONA
SIN.DE          SINNER
SIS.DE          FIRST SENSOR
SIX2.DE         SIXT ST
SIX3.DE         SIXT VZO
SK1A.DE         SKW STAHL MET HLDG
SKB.DE          KOENIG + BAUER ST
SLT.DE          SCHALTBAU HOLDING
SMHN.DE         SUESS MICROTEC
SNG.DE          SINGULUS TECHNOL EO 1
SNH.DE          STEINHOFF INT HLDG EO ,50
SOW.DE          SOFTWARE
SPM.DE          SPL MEDIEN
SPR.DE          A SPRINGER VNA
SRT.DE          SARTORIUS
SRT3.DE         SARTORIUS VZO
STB1.DE         STRABAG
STE.DE          STEILMANN
STM.DE          STABILUS SA INH EO
STO3.DE         STO + CO KGAA VZO
STR.DE          STOEHR + CO
SUR.DE          SURTECO
SW1.DE          SHW
SWA.DE          SCHLOSS WACHENHEIM
SWVK.DE         SOLARWORLD
SY1.DE          SYMRISE INH
SYT.DE          SOFTING
SYZ.DE          SYZYGY
SZG.DE          SALZGITTER
SZU.DE          SUEDZUCKER
SZZ.DE          SINNERSCHRADER
TC1.DE          TELE COLUMBUS
TCU.DE          TC UNTERHALTUNGSELEK
TEG.DE          TAG IMMOBILIEN
TGT.DE          11 88 0 SOLUTIONS
TIM.DE          ZEAL NETWORK EO 1
TIS.DE          TISCON
TKA.DE          THYSSENKRUPP
TLG.DE          TLG IMMOBILIEN
TLI.DE          TELES INFORM TECHN
TLX.DE          TALANX
TPE.DE          PVA TEPLA
TTI.DE          TOM TAILOR HOLDG
TTK.DE          TAKKT
TTO.DE          TTL INF TECHN
TTR1.DE         TECHNOTRANS
TUR.DE          TURBON
TVD6.DE         TRAVEL24 COM
TXA.DE          AMATECH
ULC.DE          UNITED LABELS
UMS.DE          UMS IL
UN01.DE         UNIPER
UP7.DE          UTD POWER TECHN
UPR.DE          UNIPROF REAL HLD
US5.DE          ULTRASONIC
USE.DE          BEATE UHSE
UTDI.DE         UTD INTERNET
UUU.DE          3U HOLDING
UZU.DE          UZIN UTZ
V33.DE          VTION WIRELESS TECH
V3V.DE          VITA 34
V6C.DE          VISCOM
VBK.DE          VERBIO VER BIOENERGIE
VDN.DE          VDN
VG0K.DE         VIVANCO GRUPPE
VIB3.DE         VILLEROY + BOCH VZ
VMR1.DE         VALUE MGMT + RESH INH
VNA.DE          VONOVIA
VOS.DE          VOSSLOH
VOW.DE          VOLKSWAGEN ST
VOW3.DE         VOLKSWAGEN VZO
VQT.DE          VA Q TEC
VSC.DE          4SC
VT9.DE          VTG
WAC.DE          WACKER NEUSON
WAF.DE          SILTRONIC
WAN.DE          WANDERER WERKE AKTIEN
WBAG.DE         WILD BUNCH
WCH.DE          WACKER CHEMIE
WCMK.DE         WCM BET GRD
WDI.DE          WIRECARD
WDL.DE          WINDELN DE
WIG1.DE         WIGE MEDIA
WIN.DE          DIEBOLD NIXDORF INH
WL6.DE          WILEX
WSU.DE          WASHTEC
WTB.DE          WALTER BAU ST
WTB3.DE         WALTER BAU VZO
WUG.DE          WESTAG + GETALIT ST
WUG3.DE         WESTAG + GETALIT VZO
WUW.DE          WUESTENROT + WUERTT
WWG.DE          GELSENWASSER
XMY.DE          MYBET HOLDING
YB1A.DE         YOUBISHENG GR PAPER
YMO.DE          YMOS
YOC.DE          YOC
YSN.DE          SECUNET SECURITY
ZAL.DE          ZALANDO
ZEF.DE          ZHONGDE WASTE TECHNOLOGY
ZIL2.DE         ELRINGKLINGER
ZO1.DE          ZOOPLUS
